customer_name,grant_name,eligibility_code,is_eligible,reason
A-Para Transit,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
A-Para Transit,5310,e0003,false,Customer does not have service to non-urbanized area
A-Para Transit,5311 (f) Intercity,e0004,true,Customer has service connecting urban areas
A-Para Transit,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
A-Para Transit,5311 CMAQ,e0005,false,Customer does not have service in air quality non-attainment area
A-Para Transit,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
A-Para Transit,5311 CMAQ,e0003,false,Customer does not have service to non-urbanized area
A-Para Transit,5311 Rural,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
A-Para Transit,5311 Rural,e0003,false,Customer does not have service to non-urbanized area
A-Para Transit,5339,e0001,false,
A-Para Transit,5339,e0003,false,Customer does not have service to non-urbanized area
A-Para Transit,SB 1 State of Good Repair,e0001,false,Customer org type is Company and grant eligible types are transit agency
A-Para Transit,SB 1 State of Good Repair,e0006,true,Customer is eligible for state transit assistance
A-Para Transit,Trade Corridor Enhancement Program TCEP - Rail Freight,e0007,true,Customer has service along trade and/or freight corridors
A-Para Transit,Trade Corridor Enhancement Program TCEP - Rail Freight,e0001,false,"Customer org type is Company and grant eligible types are city, county, mpo, port authority, public construction authority, private entity sponsored by a public agency"
ABC Shuttle,5310,e0001,false,"Customer org type is Company and grant eligible types are transit agency, local government, mpo, private non-profit"
ABC Shuttle,5310,e0003,false,Customer does not have service to non-urbanized area
ABC Shuttle,5311 (f) Intercity,e0004,,Customer may or may not have service connecting urban areas
ABC Shuttle,5311 (f) Intercity,e0001,true,"Customer org type is Company and grant eligible types are transit agency, local government, private non-profit, private for-profit, indian tribal government"
ABC Shuttle,5311 CMAQ,e0005,true,Customer has service in air quality non-attainment area
ABC Shuttle,5311 CMAQ,e0001,false,"Customer org type is Company and grant eligible types are transit agency, indian tribal government, local government, mpo, private non-profit"
ABC Shuttle,5311 CMAQ,e0003,false,Customer does not have service to non-urbanized area
