key,source_record_id,name,organization_type,roles,itp_id,details,caltrans_district,website,reporting_category,hubspot_company_record_id,gtfs_static_status,gtfs_realtime_status,_deprecated__assessment_status,manual_check__contact_on_website,alias,is_public_entity,ntd_id,public_currently_operating,public_currently_operating_fixed_route,_is_current,_valid_from,_valid_to
c94c49e21a8ee2e6716fb0194f64cde0,recaBKK3NlO5CMsyD,,,[],,,,,,,Static OK,RT Incomplete,,,[],,,,,false,2022-07-08 00:00:00.000000 UTC,2022-07-08 23:59:59.999999 UTC
536256e13e6a90d0ab5a72a17484d756,reci6D14cTTXA4GsG,,,[],,,,,,,Static OK,RT Incomplete,,,[],,,,,false,2022-09-29 00:00:00.000000 UTC,2022-10-17 23:59:59.999999 UTC
728c79b2b4f30f00fab2d1809dc7eaae,recFwTA2CJkcSZBUU,,,[],,,,,,,Static OK,RT Incomplete,,,[],,,,,false,2022-09-23 00:00:00.000000 UTC,2022-10-17 23:59:59.999999 UTC
513a305881225a44acfebc91f22d8f80,reci6D14cTTXA4GsG,,,[],,,,,,,Static OK,RT Incomplete,,Unknown,[],,,,,false,2022-10-18 00:00:00.000000 UTC,2022-10-24 23:59:59.999999 UTC
e4524bd70b6a3c768976441b281f3b06,recFwTA2CJkcSZBUU,,,[],,,,,,,Static OK,RT Incomplete,,Unknown,[],,,,,false,2022-10-18 00:00:00.000000 UTC,2022-10-24 23:59:59.999999 UTC
7fa7bc1c3e8310fb3e3a46af2c6fb2ed,recsupkiKC6Y6fFfV,DAV,Non-Profit Organization,[],,"DAV operates a fleet of vehicles around the country to provide free transportation to VA medical facilities for injured and ill veterans. DAV stepped in to help veterans get the care they need when the federal government terminated its program that helped many of them pay for transportation to and from medical facilities. The vans are driven by volunteers, and the rides coordinated by more than 155 Hospital Service Coordinators around the country.

Since the program’s inception in 1987, DAV departments and chapters have donated 3,558 vehicles and Ford Motor Co. has donated 239 vehicles at a cost of nearly $89 million.",,https://www.dav.org/veterans/i-need-a-ride/,,,Static OK,RT Incomplete,,Unknown,[Disabled Veterans of America],,,,,false,2022-10-18 00:00:00.000000 UTC,2022-12-01 23:59:59.999999 UTC
40056e11edb76fc64963a0d665c2ddbe,recsupkiKC6Y6fFfV,DAV,Non-Profit Organization,[],,"DAV operates a fleet of vehicles around the country to provide free transportation to VA medical facilities for injured and ill veterans. DAV stepped in to help veterans get the care they need when the federal government terminated its program that helped many of them pay for transportation to and from medical facilities. The vans are driven by volunteers, and the rides coordinated by more than 155 Hospital Service Coordinators around the country.

Since the program’s inception in 1987, DAV departments and chapters have donated 3,558 vehicles and Ford Motor Co. has donated 239 vehicles at a cost of nearly $89 million.",,https://www.dav.org/veterans/i-need-a-ride/,,,Static OK,RT Incomplete,,,[Disabled Veterans of America],,,,,false,2022-06-29 00:00:00.000000 UTC,2022-10-17 23:59:59.999999 UTC
ba616f20f9f2273a41582775240379dd,recCr2gmWndkOLMp9,FIS,Company,[],,,,,,,Static OK,RT Incomplete,,Unknown,[],,,,,false,2022-10-18 00:00:00.000000 UTC,2022-12-01 23:59:59.999999 UTC
825cff32d9c4f1a6608ef3a4d49a3d2e,recCr2gmWndkOLMp9,FIS,Company,[],,,,,,,Static OK,RT Incomplete,,,[],,,,,false,2022-06-29 00:00:00.000000 UTC,2022-10-17 23:59:59.999999 UTC
a68869a2d3a2cce2b597cb3b39ef794a,recmCZYY7aXn5MS9b,IBI,Company,[],,,,,,,Static OK,RT Incomplete,,Unknown,[],,,,,false,2022-10-18 00:00:00.000000 UTC,2022-12-01 23:59:59.999999 UTC
